qseqid,sseqid,qstart,qend,sstart,send,evalue,bitscore,pident,qcovs,accession,taxonomy,fam,spec,barcode,group,Specific,reads,barcode,total,obs_perc,exp_group,obs_group,Pellet_ ID,Primer,Extract,Location,Morph_ID,Expected,Expected_main,exp_ind
consensus_SQK-RBK114-96_barcode85_3_1(44),gi|1798174145|gb|MN122861.1|,69,263,2261,2455,7.47E-95,361,100,74,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,44,85,16138,0.002726484,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_0_9(42),gi|1798174145|gb|MN122861.1|,3,115,2259,2371,1.02E-49,209,100,97,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,42,85,16138,0.002602553,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_0_21(309),gi|1798174145|gb|MN122861.1|,1,169,2267,2435,1.25E-80,313,100,100,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,309,85,16138,0.019147354,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_0_20(16),gi|1798174145|gb|MN122861.1|,1,113,2323,2435,9.84E-50,209,100,100,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,16,85,16138,0.000991449,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_0_29(513),gi|1798174145|gb|MN122861.1|,1,168,2390,2223,4.47E-80,311,100,100,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,513,85,16138,0.031788326,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_0_6(73),gi|1798174145|gb|MN122861.1|,4,137,2375,2242,2.73E-61,248,100,97,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,73,85,16138,0.004523485,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_3_2(31),gi|1798174145|gb|MN122861.1|,71,302,2225,2456,2.37E-115,429,100,76,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,31,85,16138,0.001920932,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_0_0(1170),gi|1798174145|gb|MN122861.1|,8,150,2365,2223,3.05E-66,265,100,95,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,1170,85,16138,0.07249969,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_0_28(447),gi|1798174145|gb|MN122861.1|,1,123,2345,2223,3.06E-55,228,100,100,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,447,85,16138,0.0276986,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_0_1(423),gi|1798174145|gb|MN122861.1|,1,105,2326,2222,2.47E-45,195,100,100,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,423,85,16138,0.026211426,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_4_0(72),gi|1798174145|gb|MN122861.1|,1,105,2326,2222,2.47E-45,195,100,100,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,72,85,16138,0.004461519,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_0_22(2804),gi|1798174145|gb|MN122861.1|,1,197,2260,2456,4.09E-96,364,100,100,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,2804,85,16138,0.173751394,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_0_2(298),gi|1798174145|gb|MN122861.1|,1,105,2351,2455,2.47E-45,195,100,100,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,298,85,16138,0.018465733,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_0_15(271),gi|1798174145|gb|MN122861.1|,1,195,2436,2242,5.23E-95,361,100,100,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,271,85,16138,0.016792663,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_3_0(25),gi|1798174145|gb|MN122861.1|,70,234,2290,2455,1.45E-76,300,99.398,70,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,25,85,16138,0.001549139,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_0_12(288),gi|1798174145|gb|MN122861.1|,1,115,2341,2455,7.80E-51,213,100,100,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,288,85,16138,0.017846078,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_0_8(1300),gi|1798174145|gb|MN122861.1|,1,133,2355,2223,9.42E-61,246,100,100,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,1300,85,16138,0.080555211,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_0_5(151),gi|1798174145|gb|MN122861.1|,3,142,2295,2434,1.32E-64,259,100,98,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,151,85,16138,0.009356798,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_0_25(865),gi|1798174145|gb|MN122861.1|,1,160,2296,2455,1.18E-75,296,100,100,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,865,85,16138,0.053600198,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_0_17(31),gi|1798174145|gb|MN122861.1|,1,123,2312,2434,3.06E-55,228,100,100,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,31,85,16138,0.001920932,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_0_26(5113),gi|1798174145|gb|MN122861.1|,1,229,2224,2452,7.98E-114,424,100,100,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,5113,85,16138,0.316829843,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_0_18(83),gi|2155199868|gb|OL631132.1|,67,294,346,119,3.84E-113,422,100,77,OL631132.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,83,85,16138,0.00514314,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_0_7(42),gi|1798174145|gb|MN122861.1|,1,141,2264,2404,3.64E-65,261,100,100,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,42,85,16138,0.002602553,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_3_3(39),gi|1798174145|gb|MN122861.1|,70,269,2452,2253,1.27E-97,370,100,74,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,39,85,16138,0.002416656,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_0_16(878),gi|1798174145|gb|MN122861.1|,1,197,2224,2420,4.09E-96,364,100,100,MN122861.1,Merlangius merlangus,Merlangius,merlangus,85,Fish,Whiting,878,85,16138,0.05440575,1,0.949807907,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,1
consensus_SQK-RBK114-96_barcode85_0_10(19),gi|2653196683|gb|CP108396.1|,38,72,35,1,3.21E-06,65.8,100,73,CP108396.1,Streptomyces sp. NBC_01310,Streptomyces,sp.,85,Other,Bacteria,19,85,16138,0.001177345,0,0.041269054,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",Whiting,0
consensus_SQK-RBK114-96_barcode85_0_27(242),gi|2653196683|gb|CP108396.1|,21,55,35,1,2.40E-06,65.8,100,81,CP108396.1,Streptomyces sp. NBC_01310,Streptomyces,sp.,85,Other,Bacteria,242,85,16138,0.014995662,0,0.041269054,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",Whiting,0
consensus_SQK-RBK114-96_barcode85_0_19(13),gi|2653196683|gb|CP108396.1|,73,119,97,52,8.67E-11,80.5,97.872,91,CP108396.1,Streptomyces sp. NBC_01310,Streptomyces,sp.,85,Other,Bacteria,13,85,16138,0.000805552,0,0.041269054,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",Whiting,0
consensus_SQK-RBK114-96_barcode85_0_4(373),gi|2562641763|gb|CP120994.1|,29,65,10345,10309,1.97E-07,69.4,100,86,CP120994.1,Streptomyces laculatispora,Streptomyces,laculatispora,85,Other,Bacteria,373,85,16138,0.023113149,0,0.041269054,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",Whiting,0
consensus_SQK-RBK114-96_barcode85_0_11(19),gi|2653196683|gb|CP108396.1|,38,72,35,1,2.92E-06,65.8,100,71,CP108396.1,Streptomyces sp. NBC_01310,Streptomyces,sp.,85,Other,Bacteria,19,85,16138,0.001177345,0,0.041269054,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",Whiting,0
consensus_SQK-RBK114-96_barcode85_1_0(39),gi|2428834126|gb|OP936975.1|,1,135,16055,15920,3.46E-60,244,99.265,100,OP936975.1,Stercorarius pomarinus,Stercorarius,pomarinus,85,Seabird,Pomarine jaeger,39,85,16138,0.002416656,0,0.008923039,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,0
consensus_SQK-RBK114-96_barcode85_2_1(26),gi|2428834126|gb|OP936975.1|,1,218,16050,15834,1.64E-105,396,99.541,100,OP936975.1,Stercorarius pomarinus,Stercorarius,pomarinus,85,Seabird,Pomarine jaeger,26,85,16138,0.001611104,0,0.008923039,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,0
consensus_SQK-RBK114-96_barcode85_1_1(61),gi|2428834126|gb|OP936975.1|,1,161,16050,15890,3.30E-76,298,100,100,OP936975.1,Stercorarius pomarinus,Stercorarius,pomarinus,85,Seabird,Pomarine jaeger,61,85,16138,0.003779898,0,0.008923039,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,0
consensus_SQK-RBK114-96_barcode85_2_0(18),gi|2428834126|gb|OP936975.1|,1,193,16050,15858,6.68E-94,357,100,100,OP936975.1,Stercorarius pomarinus,Stercorarius,pomarinus,85,Seabird,Pomarine jaeger,18,85,16138,0.00111538,0,0.008923039,1-39,MarVer,No wash,Foula Da Mill Loch,2920,"100% fish, vertebrae, whiting",whiting,0
consensus_SQK-RBK114-96_barcode86_1_111(66),gi|1814043341|gb|MT122070.1|,5,139,171,37,7.73E-62,250,100,97,MT122070.1,Clupea harengus,Clupea,harengus,86,Fish,Atlantic herring,66,86,16555,0.003986711,0.8,0.293385684,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0.8
consensus_SQK-RBK114-96_barcode86_1_169(40),gi|1814043341|gb|MT122070.1|,1,138,147,10,1.65E-63,255,100,100,MT122070.1,Clupea harengus,Clupea,harengus,86,Fish,Atlantic herring,40,86,16555,0.002416188,0.8,0.293385684,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0.8
consensus_SQK-RBK114-96_barcode86_1_81(60),gi|1799624616|gb|MN122931.1|,1,107,2350,2244,1.99E-46,198,100,99,MN122931.1,Clupea harengus,Clupea,harengus,86,Fish,Atlantic herring,60,86,16555,0.003624283,0.8,0.293385684,2-19,MarVer,No wash,Noss Club East,3980,"80% fish, vertebrae, herring, 20% vegetation",Herring,0.8
